City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
450,Doha,QA,66.2,clear sky,25.2867,51.5333,Doha Marriott Hotel
459,Nicoya,CR,71.06,overcast clouds,10.1483,-85.45200000000001,Guayacan Real
460,Belmonte,BR,69.8,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
461,Luau,AO,69.87,overcast clouds,-10.7073,22.2247,Kimbo Hotel
475,Chicama,PE,72.09,broken clouds,-7.8447,-79.1469,Hospedaje Punta Cana PERU
477,Lashio,MM,74.71,clear sky,22.9333,97.75,Hotel CF Lashio - Burmese Only
487,Mubi,NG,74.43,clear sky,10.2676,13.2644,Hotel
490,Guayaramerin,BO,71.89,overcast clouds,-10.8368,-65.3614,Hostal Funf
496,Sao Jose Dos Pinhais,BR,66.2,broken clouds,-25.5347,-49.2064,Mercure Curitiba Aeroporto Hotel
499,Butembo,CD,74.05,overcast clouds,0.15,29.2833,Hotel Butembo
514,Khawhai,IN,65.05,clear sky,23.3667,93.1167,Homestay Khawhai
526,Praia,CV,71.6,clear sky,14.9215,-23.5087,LT Aparthotel
533,Villa Carlos Paz,AR,69.8,scattered clouds,-31.4241,-64.4978,Monte Carlo
545,Manaus,BR,73.4,clear sky,-3.1019,-60.025,Hotel do Largo
561,Boke,GN,69.6,overcast clouds,10.9409,-14.2967,Hôtel Rio Nunez - Boké
574,Novo Aripuana,BR,72.21,moderate rain,-5.1206,-60.3797,Hotel Ezequiel
580,Imbituba,BR,69.8,broken clouds,-28.24,-48.6703,Praia Hotel Imbituba
588,San Onofre,CO,74.89,overcast clouds,9.7359,-75.5263,Hotel Sinai
590,Kaya,BF,67.14,broken clouds,13.0917,-1.0844,Maison de l'appelé
594,Mozarlandia,BR,71.42,overcast clouds,-14.7447,-50.5706,Hotel Santa Mônica
610,Dakar,SN,68.0,overcast clouds,14.6937,-17.4441,Novotel Dakar
611,Oriximina,BR,72.27,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
612,Kahului,US,73.4,clear sky,20.8947,-156.47,Maui Seaside Hotel
614,Bonthe,SL,74.93,few clouds,7.5264,-12.505,Bonthe Holiday Village
625,Mossendjo,CG,73.15,light rain,-2.9506,12.7261,HOTEL D'ASSISE
630,Waiuku,NZ,66.2,broken clouds,-37.25,174.75,Waiuku Lodge Motel
648,Dzilam Gonzalez,MX,67.15,clear sky,21.2833,-88.9333,posadas
650,Les Cayes,HT,72.64,clear sky,18.2,-73.75,Villa Orphee
656,Mbeya,TZ,69.8,light rain,-8.9,33.45,Leda Lodge
660,Sao Joao Da Barra,BR,73.56,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
663,Bandar-E Lengeh,IR,66.2,sand,26.5579,54.8807,کافی نت پارس
674,Valente,BR,66.24,overcast clouds,-11.4122,-39.4619,Bel Pousada E Restaurante
679,Ariquemes,BR,70.59,overcast clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
