City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Hermanus,-34.4187,19.2345,64.0,79,21,1.99,ZA,2021-01-11 00:39:21
68,Paamiut,61.994,-49.6678,33.01,97,100,8.43,GL,2021-01-11 00:39:21
69,Esperance,-33.8667,121.9,64.4,63,90,16.11,AU,2021-01-11 00:39:21
70,Ancud,-41.8697,-73.8203,46.99,76,0,6.91,CL,2021-01-11 00:39:21
71,Codrington,-38.2667,141.9667,90.81,23,100,19.77,AU,2021-01-11 00:39:22
72,Sao Filipe,14.8961,-24.4956,70.86,70,41,18.05,CV,2021-01-11 00:39:22
73,Coihaique,-45.5752,-72.0662,42.8,75,75,5.75,CL,2021-01-11 00:39:22
74,Filadelfia,39.9523,-75.1638,41.0,42,1,4.0,US,2021-01-11 00:35:23
75,Lewistown,40.5992,-77.5714,33.8,69,1,2.17,US,2021-01-11 00:39:22
76,Bredasdorp,-34.5322,20.0403,62.6,82,87,4.61,ZA,2021-01-11 00:39:23
77,Tuktoyaktuk,69.4541,-133.0374,1.4,85,75,11.5,CA,2021-01-11 00:39:23
78,Bilma,18.6853,12.9164,68.4,23,0,8.57,NE,2021-01-11 00:39:23
79,Bluff,-46.6,168.3333,61.0,64,89,15.01,NZ,2021-01-11 00:39:23
80,Solnechnyy,50.7214,136.6319,-9.58,83,95,1.81,RU,2021-01-11 00:39:23
81,Qaanaaq,77.484,-69.3632,-0.69,73,0,4.94,GL,2021-01-11 00:39:24
82,Longyearbyen,78.2186,15.6401,28.4,69,40,10.36,SJ,2021-01-11 00:39:24
83,Vieques,18.425,-65.8329,78.8,83,40,9.22,PR,2021-01-11 00:39:24
84,Salekhard,66.53,66.6019,-14.89,85,74,6.51,RU,2021-01-11 00:39:24
85,Spirit River,55.7833,-118.8361,21.2,93,100,3.44,CA,2021-01-11 00:39:24
86,Laguna,38.421,-121.4238,54.0,71,75,9.22,US,2021-01-11 00:39:25
87,Ahipara,-35.1667,173.1667,70.43,59,1,9.33,NZ,2021-01-11 00:39:25
88,Saint-Pierre,-21.3393,55.4781,77.0,88,75,3.44,RE,2021-01-11 00:39:25
89,New Norfolk,-42.7826,147.0587,87.01,24,93,3.0,AU,2021-01-11 00:39:25
90,Somerset,40.5668,-74.5496,33.01,74,1,4.68,US,2021-01-11 00:39:25
91,Kutum,14.2,24.6667,53.2,37,0,10.47,SD,2021-01-11 00:39:26
92,Akyab,20.15,92.9,68.65,69,3,4.34,MM,2021-01-11 00:39:26
93,Gumdag,39.2061,54.5906,40.53,60,0,5.79,TM,2021-01-11 00:39:26
94,Calama,-22.4667,-68.9333,66.2,32,0,19.57,CL,2021-01-11 00:39:26
95,Victoria,22.2855,114.1577,51.01,48,100,5.01,HK,2021-01-11 00:36:44
96,La Poza,20.1167,-96.9667,69.33,80,20,2.8,MX,2021-01-11 00:39:27
97,Tabou,4.423,-7.3528,78.26,87,14,7.14,CI,2021-01-11 00:39:27
98,Conner,17.7964,121.3275,67.42,83,93,2.28,PH,2021-01-11 00:39:27
99,Beachwood,41.4645,-81.5087,33.8,93,75,1.7,US,2021-01-11 00:37:36
100,Shenkursk,62.1091,42.896,-8.43,90,0,4.76,RU,2021-01-11 00:39:27
101,Havre,49.5833,0.3333,39.2,87,90,3.44,FR,2021-01-11 00:39:28
102,Barrow,71.2906,-156.7887,3.2,85,90,10.36,US,2021-01-11 00:35:05
103,Dikson,73.5069,80.5464,21.33,98,100,17.11,RU,2021-01-11 00:39:28
104,Yumen,40.2833,97.2,16.07,65,100,28.45,CN,2021-01-11 00:39:28
105,Bengkulu,-3.8004,102.2655,78.93,79,100,3.51,ID,2021-01-11 00:39:29
106,Nizwa,22.9333,57.5333,45.99,55,0,1.32,OM,2021-01-11 00:39:29
107,Iqaluit,63.7506,-68.5145,1.4,78,75,12.66,CA,2021-01-11 00:35:10
108,Bonthe,7.5264,-12.505,78.8,87,0,9.28,SL,2021-01-11 00:39:29
109,Bathsheba,13.2167,-59.5167,78.8,73,20,20.71,BB,2021-01-11 00:39:29
110,Aklavik,68.2191,-135.0107,8.6,85,100,2.3,CA,2021-01-11 00:39:30
111,Mogadouro,41.3403,-6.7119,28.99,81,0,1.99,PT,2021-01-11 00:39:30
112,Fortuna,40.5982,-124.1573,55.0,87,1,1.77,US,2021-01-11 00:39:30
113,Mpika,-11.8343,31.4529,62.17,98,100,7.96,ZM,2021-01-11 00:39:30
114,Nanortalik,60.1432,-45.2371,32.2,93,100,3.06,GL,2021-01-11 00:39:31
115,Kismayo,-0.3582,42.5454,76.48,80,0,15.55,SO,2021-01-11 00:39:31
116,Butaritari,3.0707,172.7902,80.94,82,52,15.88,KI,2021-01-11 00:39:31
117,Acajutla,13.5928,-89.8275,80.6,47,0,4.61,SV,2021-01-11 00:39:31
118,Zaoyang,32.1272,112.7542,35.96,60,100,16.67,CN,2021-01-11 00:39:32
119,Bafra,41.5678,35.9069,48.2,87,75,1.14,TR,2021-01-11 00:39:32
120,Ayan,56.45,138.1667,-17.03,73,80,10.63,RU,2021-01-11 00:39:32
121,Kalmunai,7.4167,81.8167,75.25,94,100,7.9,LK,2021-01-11 00:39:33
122,Lorengau,-2.0226,147.2712,86.31,62,24,3.62,PG,2021-01-11 00:39:33
123,Chiredzi,-21.05,31.6667,72.19,93,40,8.25,ZW,2021-01-11 00:39:34
124,Derzhavinsk,51.1,66.3167,15.42,95,100,16.78,KZ,2021-01-11 00:39:34
125,San Juan,-31.5375,-68.5364,89.94,23,2,3.65,AR,2021-01-11 00:39:27
126,Padang,-0.9492,100.3543,80.71,68,94,5.41,ID,2021-01-11 00:39:34
127,Sheregesh,52.9209,87.9869,10.76,96,100,2.82,RU,2021-01-11 00:39:34
128,Kaitangata,-46.2817,169.8464,60.01,54,100,8.01,NZ,2021-01-11 00:39:35
129,Nanzhang,31.7765,111.8386,38.34,54,100,15.9,CN,2021-01-11 00:39:35
130,Broken Hill,-31.95,141.4333,89.6,23,0,16.11,AU,2021-01-11 00:39:35
131,Goderich,43.7501,-81.7165,30.2,74,98,6.91,CA,2021-01-11 00:36:06
132,Port Elizabeth,-33.918,25.5701,66.2,82,40,4.61,ZA,2021-01-11 00:36:40
133,Zyryanka,65.75,150.85,-33.57,84,96,1.03,RU,2021-01-11 00:39:36
134,Kizema,61.113,44.8302,-8.97,90,0,4.99,RU,2021-01-11 00:39:36
135,Torbay,47.6666,-52.7314,33.01,100,90,26.46,CA,2021-01-11 00:39:36
136,Deputatskiy,69.3,139.9,-33.7,83,60,4.45,RU,2021-01-11 00:39:37
137,Cabo San Lucas,22.8909,-109.9124,71.6,68,1,9.22,MX,2021-01-11 00:39:37
138,Baiyin,36.5583,104.2081,12.99,71,0,8.95,CN,2021-01-11 00:39:37
139,Maningrida,-12.0667,134.2667,81.79,80,99,6.06,AU,2021-01-11 00:39:37
140,Karratha,-20.7377,116.8463,94.62,46,26,7.61,AU,2021-01-11 00:39:37
141,Da Nang,16.0678,108.2208,66.2,68,75,5.75,VN,2021-01-11 00:39:37
142,Lebu,-37.6167,-73.65,56.03,87,95,6.62,CL,2021-01-11 00:39:38
143,Ambon,-3.6954,128.1814,86.0,74,20,3.44,ID,2021-01-11 00:39:38
144,Mao,39.8885,4.2658,48.2,87,90,21.85,ES,2021-01-11 00:39:38
145,Narasannapeta,18.4167,84.05,67.37,83,4,4.14,IN,2021-01-11 00:39:39
146,Chuy,-33.6971,-53.4616,73.11,94,28,12.48,UY,2021-01-11 00:39:39
147,Amqui,48.4638,-67.4313,19.4,79,40,8.05,CA,2021-01-11 00:39:39
148,San Cristobal,7.7669,-72.225,80.6,69,40,4.61,VE,2021-01-11 00:39:39
149,Ortigueira,-24.2083,-50.9494,69.42,91,5,1.86,BR,2021-01-11 00:39:40
150,Sitka,57.0531,-135.33,44.6,76,90,19.57,US,2021-01-11 00:39:40
151,Halifax,44.6453,-63.5724,28.4,74,86,8.05,CA,2021-01-11 00:39:40
152,Port Lincoln,-34.7333,135.8667,83.44,31,100,19.48,AU,2021-01-11 00:39:40
153,Makaha,21.4694,-158.2175,82.4,61,40,13.8,US,2021-01-11 00:39:40
154,Mahebourg,-20.4081,57.7,78.8,94,75,3.44,MU,2021-01-11 00:34:45
155,Barranca,-10.75,-77.7667,69.75,84,99,8.25,PE,2021-01-11 00:39:41
156,Yeppoon,-23.1333,150.7333,80.6,61,90,13.8,AU,2021-01-11 00:39:41
157,Ilulissat,69.2167,-51.1,19.4,68,75,2.17,GL,2021-01-11 00:39:41
158,Kruisfontein,-34.0033,24.7314,64.99,81,100,1.99,ZA,2021-01-11 00:39:41
159,Grand Gaube,-20.0064,57.6608,77.0,86,2,10.96,MU,2021-01-11 00:39:42
160,Buraydah,26.326,43.975,51.8,93,0,4.61,SA,2021-01-11 00:35:49
161,Sungaipenuh,-2.0833,101.3833,69.66,83,100,1.83,ID,2021-01-11 00:39:42
162,Erzin,36.9559,36.2,55.99,60,0,1.01,TR,2021-01-11 00:39:42
163,Raga,8.4596,25.678,61.29,30,0,4.38,SS,2021-01-11 00:39:43
164,Beisfjord,68.3751,17.5988,7.0,89,100,21.99,NO,2021-01-11 00:39:43
165,Hofn,64.2539,-15.2082,23.76,85,0,16.53,IS,2021-01-11 00:39:43
166,Temerloh,3.4483,102.4176,73.63,94,100,2.21,MY,2021-01-11 00:39:43
167,Sinegorskiy,48.0139,40.8447,29.41,95,46,7.14,RU,2021-01-11 00:39:43
168,Faanui,-16.4833,-151.75,80.85,75,100,15.28,PF,2021-01-11 00:39:44
169,Arraial Do Cabo,-22.9661,-42.0278,76.87,90,3,16.78,BR,2021-01-11 00:39:44
170,Coruripe,-10.1256,-36.1756,78.51,79,100,13.69,BR,2021-01-11 00:39:44
171,Nikolskoye,59.7035,30.7861,3.0,78,0,8.95,RU,2021-01-11 00:39:44
