City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Ibra,OM,22.6906,58.5334,55.47,46,0,3.58,clear sky
79,Ancud,CL,-41.8697,-73.8203,62.6,55,75,4.61,broken clouds
80,Mar Del Plata,AR,-38.0023,-57.5575,75.99,88,0,16.11,clear sky
81,Provideniya,RU,64.3833,-173.3,6.8,72,20,4.47,few clouds
82,Hasaki,JP,35.7333,140.8333,43.0,87,40,10.36,scattered clouds
83,Springbok,ZA,-29.6643,17.8865,65.57,42,0,3.87,clear sky
84,Tiksi,RU,71.6872,128.8694,-45.69,78,44,8.57,scattered clouds
85,Nikolskoye,RU,59.7035,30.7861,34.0,93,75,8.95,light snow
86,Lebu,CL,-37.6167,-73.65,56.79,73,0,18.07,clear sky
87,Yelovo,RU,57.0538,54.9207,34.59,97,100,8.03,light rain
88,Henties Bay,NA,-22.116,14.2845,70.0,88,97,7.85,overcast clouds
89,Cayenne,GF,4.9333,-52.3333,78.8,78,75,3.44,broken clouds
90,Pervomayskoye,RU,43.919,46.7102,36.79,87,78,8.25,broken clouds
91,Dudinka,RU,69.4058,86.1778,-33.74,83,86,5.19,overcast clouds
92,Dauriya,RU,49.9333,116.8667,-0.38,92,100,11.81,overcast clouds
93,Nong Chik,TH,6.8436,101.178,73.65,89,77,7.36,broken clouds
94,Talas,TR,38.6908,35.5538,24.8,80,0,5.75,clear sky
95,Nakusp,CA,50.2499,-117.8023,26.6,74,99,1.14,overcast clouds
96,Kuybyshevo,RU,47.8123,38.9073,31.23,97,100,9.84,overcast clouds
97,Albany,US,42.6001,-73.9662,19.0,47,43,8.01,scattered clouds
98,Torbay,CA,47.6666,-52.7314,26.01,80,20,16.11,few clouds
99,Bengkulu,ID,-3.8004,102.2655,77.63,80,81,4.5,broken clouds
100,Mahebourg,MU,-20.4081,57.7,77.0,88,40,3.44,moderate rain
101,Husavik,IS,66.0449,-17.3389,23.0,93,90,2.3,light snow
102,Xiaoweizhai,CN,26.1903,107.5125,50.54,89,97,1.99,overcast clouds
103,Mabaruma,GY,8.2,-59.7833,72.84,96,69,3.15,broken clouds
104,Zhangjiakou,CN,40.81,114.8794,24.28,85,100,1.34,overcast clouds
105,Ardakan,IR,32.31,54.0175,30.47,67,0,0.69,clear sky
106,Codrington,AU,-38.2667,141.9667,72.7,52,83,0.74,light rain
107,Olafsvik,IS,64.8945,-23.7142,27.82,91,70,28.74,broken clouds
108,Jamestown,US,42.097,-79.2353,23.0,79,90,4.61,overcast clouds
109,Ushtobe,KZ,45.2514,77.9838,3.42,92,22,8.61,few clouds
110,Woodstock,CA,43.1334,-80.7497,24.8,80,100,3.44,overcast clouds
111,Sur,OM,22.5667,59.5289,66.96,51,0,10.85,clear sky
112,Khash,IR,28.2211,61.2158,31.84,64,0,3.33,clear sky
113,Kibre Mengist,ET,5.8833,38.9833,54.27,53,12,3.27,few clouds
114,Turukhansk,RU,65.8167,87.9833,-39.06,76,7,3.06,clear sky
115,Severnoye,RU,56.3491,78.3619,-41.24,80,63,4.83,broken clouds
116,Buin,CL,-33.7333,-70.75,80.6,41,0,6.91,clear sky
117,Kavieng,PG,-2.5744,150.7967,84.61,68,58,5.79,broken clouds
118,Tuapse,RU,44.1125,39.0742,46.24,64,94,13.35,overcast clouds
119,Nieuw Amsterdam,SR,5.8833,-55.0833,78.8,83,20,9.22,few clouds
120,Khatanga,RU,71.9667,102.5,-18.24,88,99,9.33,overcast clouds
121,Yatou,CN,37.15,122.3833,41.41,86,100,5.12,overcast clouds
122,Ola,RU,59.5833,151.2833,-14.55,81,97,12.12,overcast clouds
123,Redwater,US,33.3582,-94.2544,55.4,88,90,8.05,moderate rain
124,Gobabis,NA,-22.45,18.9667,76.68,39,80,7.4,broken clouds
125,Vilcun,CL,-38.65,-72.2333,64.4,45,0,11.5,clear sky
126,Talnakh,RU,69.4865,88.3972,-29.83,76,92,3.8,overcast clouds
127,Acajutla,SV,13.5928,-89.8275,86.0,37,0,3.44,clear sky
128,Yar-Sale,RU,66.8333,70.8333,-31.36,80,100,11.77,overcast clouds
129,Spring Valley,US,36.108,-115.245,55.99,24,20,4.61,few clouds
130,Bria,CF,6.5423,21.9863,73.22,31,100,4.16,overcast clouds
131,Itoman,JP,26.1247,127.6694,66.2,77,75,8.05,broken clouds
132,Riyadh,SA,24.6877,46.7219,51.8,24,0,3.44,clear sky
133,Olmos,PE,-5.9847,-79.7453,81.64,50,95,7.4,overcast clouds
134,Elizabeth City,US,36.2946,-76.2511,39.0,53,18,3.0,few clouds
135,Sitka,US,57.0531,-135.33,39.2,81,40,2.06,scattered clouds
136,Antanifotsy,MG,-19.65,47.3167,60.89,89,82,2.19,broken clouds
137,Luderitz,NA,-26.6481,15.1594,67.37,59,92,23.94,overcast clouds
138,Salinopolis,BR,-0.6136,-47.3561,78.15,86,100,10.18,overcast clouds
139,Severo-Kurilsk,RU,50.6789,156.125,18.63,95,100,19.39,light snow
140,Bikin,RU,46.8161,134.26,1.67,89,29,1.72,scattered clouds
141,Ilulissat,GL,69.2167,-51.1,15.8,41,0,8.05,clear sky
142,Dikson,RU,73.5069,80.5464,-16.58,88,100,12.71,overcast clouds
143,Jalu,LY,29.0331,21.5482,54.68,37,0,11.68,clear sky
144,Cassia,BR,-20.5831,-46.9219,69.85,77,81,1.52,broken clouds
145,Kamaishi,JP,39.2667,141.8833,21.2,86,0,6.91,clear sky
146,Haines Junction,CA,60.7522,-137.5108,19.4,79,100,6.91,overcast clouds
147,Maizuru,JP,35.45,135.3333,44.6,81,75,1.14,fog
148,Iglino,RU,54.8324,56.4126,35.6,87,90,11.18,light snow
149,Andenes,NO,69.3143,16.1194,19.99,86,90,9.22,light rain
150,Madimba,TZ,-10.4,40.3333,77.77,80,89,1.99,overcast clouds
151,Sinjai,ID,-5.1241,120.253,79.95,76,100,4.47,overcast clouds
152,Manggar,ID,-2.8833,108.2667,79.59,80,100,3.36,moderate rain
153,Ponta Delgada,PT,37.7333,-25.6667,64.0,94,75,20.71,light intensity drizzle
154,Grindavik,IS,63.8424,-22.4338,26.6,74,0,14.97,clear sky
155,Qaanaaq,GL,77.484,-69.3632,9.14,80,0,5.08,clear sky
156,Barrow,US,71.2906,-156.7887,-5.8,77,1,11.5,clear sky
157,Pacific Grove,US,36.6177,-121.9166,51.8,71,90,6.91,light rain
158,Nurota,UZ,40.5614,65.6886,32.0,59,100,11.5,overcast clouds
159,Poum,NC,-20.2333,164.0167,81.23,75,89,15.84,overcast clouds
160,Muleba,TZ,-1.8397,31.6544,67.71,73,100,5.48,overcast clouds
161,Esperance,AU,-33.8667,121.9,66.2,82,40,11.5,scattered clouds
162,Stepnogorsk,KZ,52.3544,71.8869,-3.41,92,99,14.65,light snow
163,Chaozhou,CN,23.6651,116.6379,57.2,82,75,2.24,mist
164,Bay City,US,43.5945,-83.8889,28.4,80,90,4.61,overcast clouds
165,New Norfolk,AU,-42.7826,147.0587,91.0,25,0,10.36,clear sky
166,Kattivakkam,IN,13.2167,80.3167,73.4,94,40,2.44,mist
167,Susanville,US,40.4163,-120.653,37.4,65,75,8.05,broken clouds
168,Berlevag,NO,70.8578,29.0864,22.64,95,99,17.47,light snow
169,Arman,RU,59.7,150.1667,-14.15,77,99,11.99,overcast clouds
170,Anito,PH,12.4497,125.2886,79.41,81,71,7.78,broken clouds
171,Iqaluit,CA,63.7506,-68.5145,-0.4,78,1,6.96,clear sky
172,Hutchinson,US,38.0608,-97.9298,35.6,75,90,8.05,overcast clouds
173,Mataya,PH,7.4711,124.3719,76.53,81,94,2.77,overcast clouds
174,Saint-Joseph,RE,-21.3667,55.6167,78.8,73,75,4.61,light rain
175,Altay,CN,47.8667,88.1167,-2.25,86,95,1.95,overcast clouds
176,Campoverde,PE,-8.4753,-74.8058,80.6,78,75,5.75,broken clouds
177,Avera,US,33.194,-82.5271,55.4,71,90,3.76,overcast clouds
178,Dundalk,US,39.2507,-76.5205,36.0,55,90,1.83,overcast clouds
179,Westport,US,41.1415,-73.3579,28.99,34,1,8.05,clear sky
180,Pevek,RU,69.7008,170.3133,-18.62,88,99,7.7,overcast clouds
181,Lufilufi,WS,-13.8745,-171.5986,86.0,79,75,8.05,light rain
182,Tuatapere,NZ,-46.1333,167.6833,60.01,84,91,24.0,overcast clouds
183,Bethel,US,41.3712,-73.414,24.01,43,85,6.38,overcast clouds
184,Kargopol,RU,61.5071,38.9456,33.73,95,100,10.8,overcast clouds
185,Kruisfontein,ZA,-34.0033,24.7314,63.0,88,47,3.0,scattered clouds
186,Guerrero Negro,MX,27.9769,-114.0611,60.62,56,5,19.62,clear sky
187,Vao,NC,-22.6667,167.4833,75.78,77,95,24.52,overcast clouds
188,Vila Velha,BR,-20.3297,-40.2925,77.0,78,20,3.44,few clouds
189,Taltal,CL,-25.4,-70.4833,66.7,70,20,3.6,few clouds
190,Hamilton,US,39.1834,-84.5333,34.0,86,90,2.8,light rain
191,Nyurba,RU,63.2842,118.3319,-48.12,75,32,4.25,scattered clouds
192,Fukue,JP,32.6881,128.8419,48.2,71,75,17.27,broken clouds
193,Portland,US,45.5234,-122.6762,39.99,87,90,3.44,light rain
194,Constitucion,CL,-35.3333,-72.4167,58.15,81,15,11.43,few clouds
195,Atherton,GB,53.5237,-2.4935,30.0,81,20,1.01,few clouds
